"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-12 14:27:24",1762957644135,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",200,"dglkp-1762957644125-2662c7e664ff","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DMB72XKJTTSE13DJYB20","89pK3wlP4Bll",-1
"2025-11-12 14:27:23",1762957643958,"chatbotcollectibus.vercel.app/documents","GET","",200,"9p2qr-1762957643792-869aba23fc23","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/documents","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",17,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DM5P8G3C98E6Y67D488A","xsIqoR1WXVKx",1
"2025-11-12 14:27:23",1762957643903,"chatbotcollectibus.vercel.app/documents","GET","",-1,"9p2qr-1762957643792-869aba23fc23","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DM0W3N6Y4681PSFY165M","",-1
"2025-11-12 14:27:23",1762957643803,"chatbotcollectibus.vercel.app/documents","GET","",200,"9p2qr-1762957643792-869aba23fc23","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DM0W3N6Y4681PSFY165M","89pK3wlP4Bll",-1
"2025-11-12 14:27:10",1762957630499,"chatbotcollectibus.vercel.app/chat/7b1815c3-2ffc-4550-bc63-8e58b19e4659","GET","",200,"slwnq-1762957630350-7cf6b08e7b4d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/chat/[id]","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",27,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7D713PPJ11Q5ENP81T7D4","xsIqoR1WXVKx",1
"2025-11-12 14:27:10",1762957630447,"chatbotcollectibus.vercel.app/chat/7b1815c3-2ffc-4550-bc63-8e58b19e4659","GET","",-1,"slwnq-1762957630350-7cf6b08e7b4d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7D6WJVKR996NWBMM0MXSW","",-1
"2025-11-12 14:27:10",1762957630354,"chatbotcollectibus.vercel.app/chat/7b1815c3-2ffc-4550-bc63-8e58b19e4659","GET","",200,"slwnq-1762957630350-7cf6b08e7b4d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7D6WJVKR996NWBMM0MXSW","89pK3wlP4Bll",-1
"2025-11-12 14:27:08",1762957628996,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",200,"2ccmn-1762957628845-b0315f223881","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/chat/[id]","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",680,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7D5J4TNNNNZY4YBE0AVSA","xsIqoR1WXVKx",1
"2025-11-12 14:27:08",1762957628945,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",-1,"2ccmn-1762957628845-b0315f223881","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7D5DK84QZYZJDH6EV67Q8","",-1
"2025-11-12 14:27:08",1762957628851,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",200,"2ccmn-1762957628845-b0315f223881","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7D5DK84QZYZJDH6EV67Q8","89pK3wlP4Bll",-1
